bookrow_id,bookstoreid,storeid,storenumber,storedisplayname,termid,termname,termnumber,programid,programname,campusid,campusname,department,departmentname,division,divisionname,courseid,coursename,section,sectionname,instructor,schoolname,cmid,mtcid,bookimage,title,edition,author,isbn,materialtype,requirementtype,publisher,publishercode,publisherDate,productcatentryid,copyrightyear,pricerangedisplay,booklink,store_url,user_guid,course_codes,created_on,last_updated_on
,2681,B00082,,University of Texas,46,Fall 2022,,,,,,,AAS,,,,301,342098,"32430 - MEI-SINGH, LAUREL (CRN: 20229 AAS 301 32430)",,University of Texas,,,,THE SONG POET : A MEMOIR OF MY FATHER,1,YANG,9781250131881,,Required,MPS,, ,,,$18,,https://www.universitycoop.com/,,,2022-11-1 23:35:4,2022-11-1 23:35:4
,2681,B00082,,University of Texas,46,Fall 2022,,,,,,,AAS,,,,301,342098,"32430 - MEI-SINGH, LAUREL (CRN: 20229 AAS 301 32430)",,University of Texas,,,https://www.universitycoop.com/media/product-images/9780415879545-NEW HISTORY OF ASIAN AMERICA-default-1.jpg,NEW HISTORY OF ASIAN AMERICA,1,LEE,9780415879545,,Required,Taylor & Francis Group,, ,,,$19.18-49.95,,https://www.universitycoop.com/,,,2022-11-1 23:35:4,2022-11-1 23:35:4
,2681,B00082,,University of Texas,46,Fall 2022,,,,,,,AAS,,,,310,342099,"32435 - JIN, ARNOLD R (CRN: 20229 AAS 310 32435)",,University of Texas,,,https://www.universitycoop.com/media/product-images/9780446698979-THE FORTUNE COOKIE CHRONICLES-default-1.jpg,THE FORTUNE COOKIE CHRONICLES,1,LEE,9780446698979,,Required,HACHETTE,, ,,,$16.99,,https://www.universitycoop.com/,,,2022-11-1 23:35:4,2022-11-1 23:35:4
,2681,B00082,,University of Texas,46,Fall 2022,,,,,,,AAS,,,,314,342100,"32440 - SCHLUND-VIALS, CAT (CRN: 20229 AAS 314 32440)",,University of Texas,,,,,,,,,,,,,,,,,https://www.universitycoop.com/,,,2022-11-1 23:35:4,2022-11-1 23:35:4
,2681,B00082,,University of Texas,46,Fall 2022,,,,,,,AAS,,,,320C,342101,"32445 - SCHLUND-VIALS, CAT (CRN: 20229 AAS 320C 32445)",,University of Texas,,,,,,,,,,,,,,,,,https://www.universitycoop.com/,,,2022-11-1 23:35:4,2022-11-1 23:35:4
,2681,B00082,,University of Texas,46,Fall 2022,,,,,,,AAS,,,,325G,342102,"32450 - CHHUN, LINA (CRN: 20229 AAS 325G 32450)",,University of Texas,,,,AFTERPARTIES : STORIES,1,SO,9780063049901,,Required,HARPER COLLINS,, ,,,$9.95-27.99,,https://www.universitycoop.com/,,,2022-11-1 23:35:4,2022-11-1 23:35:4
,2681,B00082,,University of Texas,46,Fall 2022,,,,,,,AAS,,,,325G,342102,"32450 - CHHUN, LINA (CRN: 20229 AAS 325G 32450)",,University of Texas,,,,GANGSTER WE ARE ALL LOOKING FOR 1ST ED 2,,THUY,9780375700026,,Required,Random House LLC,, ,,,$12.71-16.95,,https://www.universitycoop.com/,,,2022-11-1 23:35:4,2022-11-1 23:35:4
,2681,B00082,,University of Texas,46,Fall 2022,,,,,,,AAS,,,,325J,342103,"32455 - BHALODIA, AARTI R (CRN: 20229 AAS 325J 32455)",,University of Texas,,,,,,,,,,,,,,,,,https://www.universitycoop.com/,,,2022-11-1 23:35:4,2022-11-1 23:35:4
,2681,B00082,,University of Texas,46,Fall 2022,,,,,,,AAS,,,,330C,348859,"32459 - FALU, NESSETTE (CRN: 20229 AAS 330C 32459)",,University of Texas,,,https://www.universitycoop.com/media/product-images/9780394713519-WOMEN RACE + CLASS 1ST ED 1983-default-1.jpg,WOMEN RACE + CLASS 1ST ED 1983,1,DAVIS,9780394713519,,Required,Random House LLC,, ,,1983,$16.95,,https://www.universitycoop.com/,,,2022-11-1 23:35:4,2022-11-1 23:35:4
,2681,B00082,,University of Texas,46,Fall 2022,,,,,,,AAS,,,,330C,348859,"32459 - FALU, NESSETTE (CRN: 20229 AAS 330C 32459)",,University of Texas,,,"https://www.universitycoop.com/media/product-images/9780802143006-BLACK SKIN, WHITE MASKS (TRANS: PHILCOX-default-1.jpg","BLACK SKIN, WHITE MASKS (TRANS: PHILCOX)",Revised edition,FANON,9780802143006,,Required,Ingram Publisher Services,, ,,,$16-28.5,,https://www.universitycoop.com/,,,2022-11-1 23:35:4,2022-11-1 23:35:4
